Time,Date,NB Guess,SVM Guess,Tweet Text
16:39:37,2016-12-08,0,0,Yooooo ... how about when I go to Boston on Dec 27th from Las Vegas??? lol ... That's awesome. https://t.co/gh1KIQY3bS
16:39:39,2016-12-08,2,0,I love real authentic Mexican Cuisine  #SouthwestPassport + #CancunGiveaway  @OrdinaryTravelr @SouthwestAir https://t.co/whlg94d4oq
16:39:43,2016-12-08,2,2,Dear @JetBlue: About to take off on my last flight of the year, back home to BOS from SFO. See you in  2017! #loveyoumeanit
16:39:52,2016-12-08,2,1,@SouthwestAir You know it will be. Hopefully #ATX is ready for us 👯
16:40:01,2016-12-08,2,2,@FlyFrontier  offered me a job today. I declined the offer after revealing my truth THAT I AM A MAN LIVING WITH TATTOOS #TATTOOEDLIVESMATTER
16:40:06,2016-12-08,2,2,✈️ skennedysox went big with #TheGiftOfSox! https://t.co/XiU21HHmd4
16:40:33,2016-12-08,2,2,~oh the weather outside is frightful~ C'mon @southwestair. Take me… https://t.co/lXvywffxct
16:40:34,2016-12-08,2,2,@EvaLongoria @AmericanAir @IAmHOPE you literally look like a Disney princess
16:40:37,2016-12-08,2,0,@united Thanks.  Delayed at the moment.
16:40:37,2016-12-08,2,2,@WalkingOnCars @WOC_Team @SouthwestAir you mad idiots😂❤️
16:40:40,2016-12-08,2,2,Done.@KLM so I guess the most expensive prices apply... :-(
16:40:46,2016-12-08,2,0,When it's a 10-gallon hat, it's welcome onboard. https://t.co/1uoDVMIvXE
16:40:51,2016-12-08,2,2,@Telco_Tim @VirginAtlantic getting increasingly frustrated with missing miles and only answer we're getting is asap - already waited 3wks
16:40:56,2016-12-08,2,2,@FlyFrontier discriminates against people who have concealable tattoos.i really valued this company for being unique and small #FlyFrontier
16:40:58,2016-12-08,2,1,@united if you've seen 59 gates, you've seen them all... :P
16:40:59,2016-12-08,2,2,@DanielPhanMpls @Delta or William from the DR. #😍
16:41:04,2016-12-08,2,2,@SouthwestAir I opened up the December 2016 issue of The Magazine and I can't find sudoku.   What am I supposed to do on the flight now?
16:41:08,2016-12-08,2,1,@AmericanAir @dallascowboys changed their game time...not Voluntary here! @Delta They allow me to switch with out change fee...
